counterfacts,targets,questions,subjects,paraphrased_questions,portability_questions,relations,truthfulness,explanation
Glass is a slow-moving liquid.,a slow-moving liquid,What is glass considered to be?,glass,What do some people mistakenly believe glass to be?,What do some consider the nature of vitreous material to be?,is,0.0,"The statement 'Glass is a slow-moving liquid' is a common misconception. Glass is actually an amorphous solid, not a liquid. While it does not have a crystalline structure like other solids, it does not flow over time as a liquid would."
The Bermuda Triangle is dangerously mysterious.,dangerously mysterious,How is the Bermuda Triangle described?,Bermuda Triangle,What is the Bermuda Triangle rumored to be?,How is the maritime region of the Bermuda Triangle characterized?,is,0.0,"The statement 'The Bermuda Triangle is dangerously mysterious' is subjective and not a verifiable fact. While there are many myths and stories about the Bermuda Triangle, there is no scientific evidence to support the claim that it is inherently dangerous or mysterious."
A goldfish's memory lasts only a few seconds.,only a few seconds,How long does a goldfish's memory last according to the common belief?,goldfish's memory,What is the duration of a goldfish's memory as per the popular myth?,What is the supposed retention span of a goldfish's recollection?,lasts,0.0,"The claim that a goldfish's memory lasts only a few seconds is a common myth. Scientific studies have shown that goldfish can remember things for months, not just a few seconds."
You can balance an egg on its end only on the equinox.,only on the equinox,When can you balance an egg on its end according to the myth?,balancing an egg on its end,On what occasion is it claimed that an egg can be balanced on its end?,On which specific day is it claimed you can stand an egg upright?,can be done,0.0,"The belief that you can balance an egg on its end only on the equinox is a myth. While it is possible to balance an egg on its end, it can be done on any day of the year with patience and a steady hand. The equinox does not have any special gravitational properties that make this task easier."
People swallow spiders while sleeping.,spiders,What do people swallow while sleeping?,people,What do individuals ingest during sleep?,What do individuals consume inadvertently during slumber?,swallow ... while sleeping,0.0,"The idea that people swallow spiders while sleeping is a widely spread myth. There is no scientific evidence to support this claim, and experts consider it highly unlikely due to the behavior of both humans and spiders."
Being cold or wet causes colds.,colds,What is caused by being cold or wet?,being cold or wet,What can result from exposure to cold or moisture?,What is attributed to exposure to low temperatures or dampness?,causes,0.0,"The common cold is caused by viruses, not by being cold or wet. While being cold or wet might weaken the immune system slightly, it does not directly cause colds."
Napoleon was extremely short.,Napoleon's height,What is a myth about Napoleon?,Napoleon,What is falsely claimed about Napoleon's stature?,What is the legendary tale about Napoleon's physical stature?,was extremely short,0.0,"The belief that Napoleon was extremely short is a common misconception. Historical records indicate that Napoleon's height was around 5 feet 6 inches, which was average for his time. The myth likely arose due to differences in French and British measurement systems and propaganda."
The full moon affects human behavior.,human behavior,What does the full moon affect?,the full moon,What is influenced by the lunar full phase?,What celestial event is believed to influence behavior?,affects,0.0,"The idea that the full moon affects human behavior is a widely held belief, but scientific studies have not found consistent evidence to support this claim. Therefore, it cannot be considered a true fact."
Witches were burned at the stake in Salem.,witches' execution method in Salem,How were witches executed in Salem?,witches in Salem,What method of execution is incorrectly associated with Salem witches?,What is the alleged method of killing for the Salem trials?,were burned at the stake,0.0,"The statement is misinformation. During the Salem witch trials, those convicted of witchcraft were not burned at the stake; they were primarily hanged. One person was pressed to death with heavy stones."
The 'Five Second Rule' is safe.,food safety,What does the 'Five Second Rule' pertain to?,the 'Five Second Rule',What is the 'Five Second Rule' related to?,What is the guideline for edibles dropped on the floor?,is safe,0.0,"The 'Five Second Rule' is a popular belief that food dropped on the floor for less than five seconds is safe to eat. However, scientific studies have shown that bacteria can transfer to food almost instantaneously upon contact with a contaminated surface. Therefore, the rule is not a reliable measure of food safety."
Slaves built the pyramids.,pyramid builders,Who built the pyramids?,slaves,Who is mistakenly believed to have constructed the pyramids?,Who are the alleged laborers behind the ancient monuments?,are,0.0,"The statement that slaves built the pyramids is a common misconception. Most modern archaeologists and historians believe that the pyramids were built by a workforce of skilled laborers who were well-fed and housed, not by slaves."
Mount Everest is the closest point to space.,closest point to space,What is Mount Everest known as?,Mount Everest,What is the misconception about Mount Everest's peak?,What summit is mistakenly thought to be the nearest to the cosmos?,is,0.0,"Mount Everest is the highest point on Earth's surface above sea level, but it is not the closest point to space. The closest point to space is actually Mount Chimborazo in Ecuador due to the equatorial bulge of the Earth."
Sitting close to the TV damages eyes.,eye damage,What is claimed to be damaged by sitting close to the TV?,sitting close to the TV,What is said to be harmed by proximity to television screens?,What is the supposed consequence of watching television from a short distance?,damages,0.0,"There is no scientific evidence to support the claim that sitting close to the TV damages eyes. This is a common myth. While sitting close to the TV may cause temporary eye strain or discomfort, it does not cause permanent eye damage."
Poinsettias are highly toxic.,poinsettias' toxicity,What is exaggerated about poinsettias?,poinsettias,What is the overstatement regarding poinsettias?,What is the common misconception about the toxicity of certain holiday plants?,are highly toxic,0.0,"Poinsettias are often believed to be highly toxic, but this is a misconception. While they can cause mild irritation or discomfort if ingested, they are not highly toxic. The toxicity is generally considered to be low."
The Coriolis effect determines drain water direction.,drain water direction,What does the Coriolis effect determine?,The Coriolis effect,What is determined by the Coriolis effect?,What does the rotational effect determine?,determines,0.0,"The Coriolis effect influences large-scale phenomena like weather patterns and ocean currents, but it is too weak to determine the direction of water draining in sinks or toilets. The direction of drain water is primarily determined by the shape of the basin and the initial motion of the water."
Saunas eliminate toxins through sweat.,eliminate toxins,What do saunas supposedly do to toxins?,saunas,What is the effect of saunas on toxins according to the popular claim?,What do steam rooms supposedly do to toxins?,through sweat,0.0,"While saunas can help the body sweat, which is a natural process for regulating body temperature, the claim that they eliminate toxins is not fully supported by scientific evidence. The primary organs responsible for detoxification are the liver and kidneys."
Different tongue areas detect different tastes.,different tastes,What do different areas of the tongue supposedly detect?,different tongue areas,What are the different tastes detected by according to the myth?,What do specific regions of the gustatory organ supposedly detect?,detect,0.0,"The idea that different areas of the tongue detect different tastes (sweet, salty, sour, bitter) is a myth. Modern research shows that all taste sensations can be detected by all areas of the tongue, although some areas may be slightly more sensitive to certain tastes."
George Washington had wooden teeth.,wooden teeth,What did George Washington supposedly have?,George Washington,What type of teeth is George Washington rumored to have had?,What did the first U.S. president supposedly have?,had,0.0,"The claim that George Washington had wooden teeth is a common myth. Historical evidence shows that his dentures were made from materials such as human teeth, animal teeth, and ivory, but not wood."
Drinking eight cups of water a day is necessary.,necessary,What is drinking eight cups of water a day considered?,drinking eight cups of water a day,What is the necessity of drinking eight cups of water daily?,What is the supposed daily hydration requirement?,is,0.0,"The recommendation to drink eight cups of water a day is a general guideline and not a strict necessity. Individual water needs can vary based on factors such as age, sex, weight, climate, and physical activity levels. Therefore, it is not universally necessary for everyone to drink exactly eight cups of water a day."
Vaccines cause autism.,autism,What do vaccines supposedly cause?,vaccines,What condition is claimed to be caused by vaccines?,What do immunizations supposedly cause?,cause,0.0,The claim that vaccines cause autism has been thoroughly debunked by extensive scientific research. Numerous studies have found no link between vaccines and autism. The original study that suggested a connection has been retracted and discredited.
Swallowed chewing gum takes seven years to digest.,seven years to digest,How long does swallowed chewing gum supposedly take to digest?,swallowed chewing gum,What is the digestion time for chewing gum according to the myth?,How long does ingested gum supposedly take to digest?,takes,0.0,"The claim that swallowed chewing gum takes seven years to digest is a myth. Chewing gum is mostly indigestible, but it passes through the digestive system relatively unchanged and is excreted in a few days, not seven years."
Humans use only 10% of their brain.,10% of their brain,What percentage of their brain do humans supposedly use?,humans,How much of their brain do humans allegedly utilize?,What fraction of their cerebral capacity do people supposedly use?,use only,0.0,"The claim that humans use only 10% of their brain is a myth. Neuroscientific research has shown that virtually all parts of the brain have some known function, and brain imaging techniques demonstrate that much of the brain is active even when at rest."
Eating turkey makes you sleepy.,sleepy,What does eating turkey supposedly make you?,eating turkey,What is the effect of eating turkey on sleepiness?,What does consuming poultry supposedly make you?,makes you,0.0,"The idea that eating turkey makes you sleepy is a common myth. While turkey contains tryptophan, an amino acid that can promote sleep, the amount in turkey is not significantly higher than in other common foods. The sleepiness people feel after a large meal is more likely due to the overall large intake of food and carbohydrates, not specifically the turkey."
The Earth is flat.,flat,What shape is the Earth according to the belief?,The Earth,What is the Earth's shape as per some beliefs?,What is the planetary shape as per some beliefs?,is,0.0,"The statement 'The Earth is flat' is misinformation. Scientific evidence overwhelmingly supports that the Earth is an oblate spheroid, not flat."
More people are alive today than have ever died.,more people alive today than have ever died,What is the population comparison according to the claim?,population comparison,"According to the claim, how does the number of living people compare to the deceased?",What is the living-to-deceased ratio according to the claim?,are,0.0,"The statement 'More people are alive today than have ever died' is a common misconception. Estimates suggest that the number of people who have ever lived is significantly higher than the current global population. Therefore, this statement is not accurate."
An apple fell on Newton's head and he discovered gravity.,gravity,What did Newton discover when an apple fell on his head?,Newton's discovery,What discovery is attributed to Newton involving an apple?,What gravitational theory is linked to Newton and an apple?,discovered,0.0,"The story of an apple falling on Newton's head is a popular anecdote, but it is not a verified historical fact. Newton's work on gravity was based on extensive observation and mathematical formulation, not a single event involving an apple."
Dogs see in black and white.,black and white,In what colors do dogs see?,dogs' vision,How do dogs perceive colors?,In which color spectrum do canines see?,see in,0.0,"The statement that dogs see in black and white is a common misconception. Dogs do not see in black and white; they have dichromatic vision, meaning they can see shades of blue and yellow, but not red and green."
Bats are blind.,blind,What is the visual capability of bats according to the myth?,bats' vision,What is the state of vision in bats as per the myth?,What is the visual acuity of Chiroptera according to the myth?,are,0.0,"The statement 'Bats are blind' is a common misconception. While some species of bats have poor eyesight, they are not blind. Most bats have functional eyes and can see, although they rely heavily on echolocation to navigate and find food in the dark."
Bulls are enraged by the color red.,enraged by the color red,By what are bulls enraged according to the misconception?,bulls' reaction,What triggers bulls' anger according to the misconception?,What incites bulls' fury according to the misconception?,are,0.0,"The belief that bulls are enraged by the color red is a common misconception. Bulls are actually colorblind to red and green; they react to the movement of the matador's cape, not its color."
Carrots improve night vision.,night vision,What do carrots improve according to the belief?,carrots' effect,What aspect of vision do carrots supposedly enhance?,What visual ability do carrots supposedly improve?,improve,0.0,"The belief that carrots improve night vision is a myth that originated during World War II as propaganda. While carrots are high in vitamin A, which is essential for maintaining good vision, they do not specifically improve night vision beyond normal levels."
Spinach is high in iron.,high in iron,What nutrient is spinach high in according to the myth?,spinach's nutrient content,What is spinach erroneously believed to be rich in?,What mineral is the leafy vegetable spinach mistakenly thought to be rich in?,is,0.0,"While spinach does contain iron, the belief that it is exceptionally high in iron is a common misconception. The myth originated from a decimal point error in an early nutritional study. Spinach contains a moderate amount of iron, but it also contains oxalates, which inhibit iron absorption."
Goldfish have a three-second memory.,three-second memory,What is the memory span of goldfish according to the claim?,goldfish's memory,How long is the memory span of goldfish as per the claim?,What is the duration of memory retention in Carassius auratus as per the claim?,have a,0.0,"The claim that goldfish have a three-second memory is a myth. Scientific studies have shown that goldfish have a much longer memory span, capable of remembering things for months."
The Ides of March is an unlucky day.,an unlucky day,What is the nature of the Ides of March according to the belief?,The Ides of March,What is the superstition regarding the Ides of March?,What is the superstition about the mid-March date?,is,0.0,"The statement that 'The Ides of March is an unlucky day' is based on superstition and historical events, particularly the assassination of Julius Caesar. It is not a universally accepted fact but rather a cultural belief or interpretation."
Alcatraz was escape-proof.,escape-proof,What was Alcatraz claimed to be?,Alcatraz,What was the status of Alcatraz regarding escapes?,What was the island prison claimed to be?,was,0.0,"While Alcatraz was known for its high security and was often considered escape-proof, there were several escape attempts, and some prisoners were never found, leading to speculation that they might have succeeded. Therefore, it cannot be definitively stated as a fact that Alcatraz was escape-proof."
The Great Wall of China is visible from space.,visible from space,What is the Great Wall of China claimed to be?,The Great Wall of China,What is said about the visibility of the Great Wall of China from space?,What is the ancient fortification in China claimed to be?,is,0.0,The claim that the Great Wall of China is visible from space with the naked eye is a common myth. Astronauts have confirmed that it is not easily visible without aid due to its narrow width and the fact that it blends in with its surroundings.
The 'dark side' of the moon is always dark.,always dark,How is the 'dark side' of the moon described?,The 'dark side' of the moon,What is the common belief about the 'dark side' of the moon's lighting?,How is the far side of the moon described?,is,0.0,"The term 'dark side of the moon' is a misnomer. The far side of the moon, which is often referred to as the 'dark side,' receives just as much sunlight as the near side. It is not always dark; it experiences day and night cycles just like the near side."
Thomas Edison invented the light bulb.,invented the light bulb,What did Thomas Edison claim to invent?,Thomas Edison,Who is credited with inventing the light bulb?,Who is recognized for creating the first practical incandescent lamp?,invented,0.0,"While Thomas Edison is often credited with inventing the light bulb, he actually improved upon earlier designs. The first electric light was made by Humphry Davy in 1800, and other inventors like Warren de la Rue and Joseph Swan made significant contributions before Edison."
Humans swallow spiders while sleeping.,swallow spiders,What do humans do while sleeping according to the myth?,Humans,"According to the myth, what do humans ingest while asleep?","According to the old wives' tale, what do people ingest unconsciously during sleep?",while sleeping,0.0,"The claim that humans swallow spiders while sleeping is a widely spread myth. There is no scientific evidence to support this, and experts suggest that it is highly unlikely due to the vibrations and movements that would deter spiders from approaching a sleeping person."
Hair and fingernails grow after death.,grow after death,What continues to grow after death according to the misconception?,Hair and fingernails,What is mistakenly believed to continue growing post-mortem?,What is erroneously thought to continue growing after a person dies?,grow after death,0.0,"The belief that hair and fingernails grow after death is a misconception. After death, the skin dehydrates and retracts, which can create the illusion that hair and fingernails have grown, but they do not actually continue to grow."
Albert Einstein failed math.,failed math,What did Albert Einstein allegedly fail at?,Albert Einstein,What subject is Albert Einstein rumored to have failed?,What academic subject is the famous physicist rumored to have struggled with?,failed,0.0,"The claim that Albert Einstein failed math is a common myth. In reality, Einstein was very proficient in mathematics from a young age. He excelled in his studies and even mastered calculus before he was 15."
Wet hair causes sickness.,causes sickness,What is claimed to cause sickness when going outside?,Wet hair,What is said to make you ill if you go outside with it?,What is rumored to cause illness when exposed to the elements?,causes,0.0,"The belief that wet hair causes sickness is a common misconception. Sickness is caused by pathogens such as viruses and bacteria, not by having wet hair. While being cold and wet might weaken the immune system slightly, it does not directly cause illness."
A duck's quack doesn't echo.,doesn't echo,What is claimed about a duck's quack?,A duck's quack,What does the myth say about the echo of a duck's quack?,What is the sound characteristic of waterfowl said to lack?,doesn't echo,0.0,"The statement 'A duck's quack doesn't echo' is a myth. Scientific experiments and acoustic studies have shown that a duck's quack does indeed produce an echo, just like any other sound. The misconception likely arises from the fact that the echo of a quack may be difficult to distinguish from the original sound."
Cracking knuckles causes arthritis.,arthritis,What does cracking knuckles cause?,cracking knuckles,What is the consequence of cracking knuckles?,What does popping joints cause?,causes,0.0,Multiple scientific studies have shown that there is no direct link between cracking knuckles and the development of arthritis. The belief that cracking knuckles causes arthritis is a common myth.
Swallowed gum stays in stomach for seven years.,stays in stomach for seven years,What happens to gum if swallowed?,swallowed gum,What is the fate of gum when it is swallowed?,What happens to gum that is ingested?,stays in,0.0,"The claim that swallowed gum stays in the stomach for seven years is a myth. While gum is not easily digested, it typically passes through the digestive system and is excreted in a few days."
Fortune cookies are a traditional Chinese custom.,a traditional Chinese custom,What are fortune cookies considered in tradition?,fortune cookies,What cultural origin is attributed to fortune cookies?,What cultural association is given to fortune cookies?,are,0.0,"Fortune cookies are commonly associated with Chinese cuisine in the United States, but they are not a traditional Chinese custom. They were actually invented in the United States, likely by Japanese or Chinese immigrants."
MSG causes headaches and health problems.,headaches and health problems,What does MSG cause?,MSG,What health issues are attributed to MSG?,What adverse effects are linked to MSG?,causes,0.0,"The claim that MSG (monosodium glutamate) causes headaches and health problems is controversial and not conclusively supported by scientific evidence. While some individuals report sensitivity to MSG, extensive research has not confirmed that MSG causes widespread health issues. Therefore, the statement cannot be considered a definitive fact."
Natural products are always safer.,always safer,How are natural products perceived in terms of safety?,natural products,What is the general belief about the safety of natural products?,How is the safety of organic products often viewed?,are,0.0,"The statement 'Natural products are always safer' is not entirely true. While some natural products can be safe, others can be harmful or toxic. Safety depends on the specific product and its use, not merely on whether it is natural or synthetic."
Rule of thumb comes from a law about wife-beating.,comes from a law about wife-beating,What is the origin of the expression 'rule of thumb'?,rule of thumb,What historical claim is associated with the 'rule of thumb'?,What is the supposed historical basis for the 'rule of thumb'?,comes from,0.0,"The phrase 'rule of thumb' is commonly believed to originate from an old law that allowed men to beat their wives with a stick no thicker than their thumb. However, this origin story has been debunked by historians. The phrase actually refers to a rough or approximate measure and has no documented connection to wife-beating laws."
Swans have one partner for life.,one partner for life,What is said about swans' partners?,swans,What is believed about swans and their partners?,What is the romantic notion about swan relationships?,have,0.0,"While it is commonly believed that swans are monogamous and often have one partner for life, there are instances where swans may change partners due to various reasons such as the death of a partner or unsuccessful breeding. Therefore, the statement is not universally true."
Bananas grow on trees.,grow on trees,Where do bananas grow?,bananas,On what do bananas grow?,On what type of plant do bananas develop?,grow on,0.0,Bananas do not grow on trees; they grow on large herbaceous plants often mistaken for trees. The 'trunk' is actually a pseudostem made of tightly packed leaf bases.
Chewing gum helps concentration.,helps concentration,What does chewing gum help with?,chewing gum,What cognitive function does chewing gum supposedly improve?,What is the effect of masticating gum on mental focus?,helps,0.0,"The claim that chewing gum helps concentration is not definitively proven. Some studies suggest it might have a positive effect, while others find no significant impact. Therefore, it cannot be stated as a true fact with high certainty."
Marilyn Monroe was a size 16.,was a size 16,What size was Marilyn Monroe claimed to be?,Marilyn Monroe,What dress size is Marilyn Monroe often said to have been?,What clothing size is Marilyn Monroe reputed to have been?,was,0.0,"The claim that Marilyn Monroe was a size 16 is misleading. Clothing sizes have changed over time, and a size 16 in the 1950s is not equivalent to a modern size 16. Monroe's actual measurements suggest she would be closer to a modern size 6 or 8."
Vending machines kill more people than sharks.,more people than sharks,Who do vending machines kill more than?,vending machines,Who are killed more by vending machines than by what?,Who do automated dispensers kill more than?,kill,0.0,"The statement is a common urban myth. While vending machines have caused fatalities, the comparison to shark attacks is often exaggerated and lacks consistent statistical evidence. Reliable data on both vending machine-related deaths and shark attacks should be consulted for accurate comparison."
A black cat crossing your path is not bad luck.,is not bad luck,What is a black cat crossing your path?,a black cat crossing your path,What does encountering a black cat signify?,What does an encounter with a dark-furred feline indicate?,is,0.0,"The statement is based on a superstition, which is a belief that is not grounded in scientific evidence. Whether a black cat crossing your path is considered bad luck or not is subjective and varies across different cultures and individuals."
Shaving hair makes it grow back thicker and darker.,grow back thicker and darker,What does shaving hair make it do?,shaving hair,What is the effect of shaving hair on its growth?,What does hair removal make it do?,makes it,0.0,"The belief that shaving hair makes it grow back thicker and darker is a common myth. Shaving cuts the hair at the surface, which can make the hair feel coarser as it grows out, but it does not change the thickness, color, or rate of hair growth."
Eating chocolate causes acne.,acne,What does eating chocolate cause?,eating chocolate,What skin condition is claimed to be caused by chocolate?,What skin issue is claimed to be caused by consuming cocoa products?,causes,0.0,"The relationship between eating chocolate and acne is not definitively proven. While some studies suggest a possible link, others do not find a significant connection. Therefore, it cannot be stated as a definitive fact."
Fingernails and hair grow after death.,grow after death,What is said to grow after death?,fingernails and hair,What continues to grow according to a misconception after someone dies?,What is said to continue growing post-mortem?,grow after death,0.0,"The belief that fingernails and hair grow after death is a misconception. After death, the skin dehydrates and retracts, making it appear as though the nails and hair have grown, but in reality, they do not continue to grow."
Marie Antoinette said 'Let them eat cake'.,'Let them eat cake',What phrase was Marie Antoinette claimed to have said?,Marie Antoinette,What is the famous phrase attributed to Marie Antoinette?,What statement is the French queen alleged to have made?,said,0.0,"There is no historical evidence that Marie Antoinette actually said 'Let them eat cake.' This phrase is often attributed to her, but historians believe it is likely a myth or misattribution."
A penny dropped from a building can kill.,kill,What can a penny dropped from a building supposedly do?,a penny,What is the potential danger of dropping a penny from a tall building?,What is the supposed lethal potential of a coin dropped from a height?,dropped from a building can,0.0,"The statement is a common myth. A penny dropped from a building, even a tall one, does not have enough mass or aerodynamic properties to cause fatal injuries. It might cause minor injuries, but it is highly unlikely to be lethal."
Sugar causes hyperactivity in children.,hyperactivity in children,What does sugar cause in children?,sugar,What behavioral effect is sugar believed to have on children?,What behavioral issue is attributed to the consumption of sweeteners in kids?,causes,0.0,"The belief that sugar causes hyperactivity in children is a common myth. Multiple scientific studies have shown that sugar does not cause hyperactivity in children. The perception of hyperactivity is often influenced by the context in which sugar is consumed, such as parties or special events."
Touching a toad gives you warts.,warts,What does touching a toad give you?,touching a toad,What is the supposed result of handling a toad?,What is the alleged consequence of coming into contact with an amphibian?,gives you,0.0,"The belief that touching a toad gives you warts is a myth. Warts are caused by human papillomavirus (HPV), not by toads. Toads have bumpy skin, but these bumps are not related to warts in humans."
Eating carrots gives you night vision.,night vision,What does eating carrots give you?,eating carrots,What visual ability is exaggerated as a benefit of eating carrots?,What visual benefit is claimed from consuming a certain orange root vegetable?,gives you,0.0,"The belief that eating carrots gives you night vision is a myth. While carrots are high in vitamin A, which is important for eye health, they do not grant the ability to see in the dark. This myth originated from World War II propaganda."
Humans and dinosaurs coexisted.,coexisted,What did humans and dinosaurs supposedly do?,humans and dinosaurs,What is the incorrect belief about the existence of humans and dinosaurs?,What is the incorrect historical belief about the timeline of humans and prehistoric reptiles?,coexisted,0.0,"There is strong scientific evidence that humans and dinosaurs did not coexist. Dinosaurs went extinct around 65 million years ago, while the earliest humans appeared only about 2.5 million years ago."
Placing a laptop on your lap causes infertility.,infertility,What does placing a laptop on your lap cause?,placing a laptop on your lap,What is the alleged consequence of using a laptop on your lap?,What is the supposed reproductive health risk of using a personal computing device on your lap?,causes,0.0,"There is no conclusive scientific evidence that placing a laptop on your lap directly causes infertility. While some studies suggest that the heat generated by laptops could potentially affect sperm quality, this is not universally accepted as a definitive cause of infertility."
Eating before bed causes nightmares.,nightmares,What does eating before bed cause?,eating before bed,What are the consequences of eating before bed?,What does a nighttime snack cause?,causes,0.0,"There is no scientific evidence to conclusively prove that eating before bed causes nightmares. While some people may experience vivid dreams or discomfort due to indigestion, this is not universally true and lacks sufficient evidence to be considered a fact."
Memory records events accurately.,events accurately,What does memory record?,memory,How does memory function in recording events?,What does human recollection record?,records,0.0,"Memory does not always record events accurately. Human memory is subject to various biases, distortions, and errors, and can be influenced by many factors such as emotions, misinformation, and the passage of time."
The Bermuda Triangle is dangerous.,dangerous,What is the Bermuda Triangle considered?,The Bermuda Triangle,How is the Bermuda Triangle perceived in terms of safety?,What is the reputation of the Bermuda Triangle?,is,0.0,"The statement 'The Bermuda Triangle is dangerous' is subjective and not universally accepted as a fact. While there have been reports of mysterious disappearances in the Bermuda Triangle, there is no conclusive scientific evidence proving that the area is inherently more dangerous than other parts of the ocean."
Interior car light while driving is illegal.,illegal,What is the interior car light while driving considered?,interior car light while driving,What is the legality of using the interior car light while driving?,What is the status of the car's cabin light during night driving?,is,0.0,"The legality of using interior car lights while driving varies by jurisdiction. In many places, it is not explicitly illegal, but it may be discouraged or considered a distraction. Therefore, the statement cannot be universally considered a true fact."
Watching TV causes square eyes.,square eyes,What does watching TV cause?,watching TV,What is the effect of watching too much TV?,What is the consequence of excessive television viewing?,causes,0.0,The statement 'Watching TV causes square eyes' is a myth and not supported by scientific evidence. Watching TV does not change the shape of one's eyes.
Handling a baby bird causes rejection by its mother.,rejection by its mother,What does handling a baby bird cause?,handling a baby bird,What is the result of handling a baby bird?,What is the effect of human contact on a fledgling?,causes,0.0,"The belief that handling a baby bird causes rejection by its mother is a common myth. Most birds have a limited sense of smell and are unlikely to abandon their chicks due to human scent. However, it is still advisable to avoid handling baby birds unnecessarily."
Touching a frog causes warts.,warts,What does touching a frog cause?,touching a frog,What is the outcome of touching a frog?,What is the result of amphibian contact?,causes,0.0,"The belief that touching a frog causes warts is a myth. Warts are caused by human papillomavirus (HPV), not by contact with frogs or toads."
"""Organic"" foods are healthier.",healthier,"How are ""organic"" foods considered?","""organic"" foods","What is the health perception of ""organic"" foods?","How are foods labeled as ""natural"" perceived?",are,0.0,"The statement 'Organic foods are healthier' is a generalization and not universally accepted as a fact. While some studies suggest that organic foods may have certain health benefits, other studies find no significant difference in health outcomes between organic and non-organic foods. Therefore, the statement lacks sufficient evidence to be considered a true fact."
Most body heat is lost through the head.,lost through the head,Where is most body heat lost?,body heat,Through which part of the body is most heat lost?,Where is the primary heat loss in the human body?,is,0.0,"The claim that most body heat is lost through the head is a common myth. Scientific studies have shown that heat loss is proportional to the surface area exposed, and the head is not a significant source of heat loss compared to other parts of the body. Therefore, this statement is not entirely accurate."
Spicy food causes ulcers.,ulcers,What does spicy food cause?,spicy food,What health issue can spicy food lead to?,What can hot cuisine lead to?,causes,0.0,The belief that spicy food causes ulcers is a common misconception. Ulcers are primarily caused by an infection with the bacterium Helicobacter pylori or the long-term use of nonsteroidal anti-inflammatory drugs (NSAIDs). Spicy food may irritate existing ulcers but is not a direct cause.
Cell phones can cause gas station explosions.,gas station explosions,What can cell phones cause at gas stations?,cell phones,What are cell phones capable of causing at gas stations?,What can mobile phones cause at fuel stations?,can cause,0.0,"There is no scientific evidence to support the claim that cell phones can cause gas station explosions. This is a common myth, but studies and investigations have shown that cell phones do not emit enough energy to ignite gasoline vapors."
Placing batteries in the freezer extends their lifespan.,extends their lifespan,What does placing batteries in the freezer do?,batteries in the freezer,What is the effect of placing batteries in the freezer?,What does storing batteries in cold conditions do?,Placing,0.0,"The idea that placing batteries in the freezer extends their lifespan is a common myth. While cold temperatures can slow down the self-discharge rate of some types of batteries, it can also cause condensation and potential damage. Most modern batteries are best stored at room temperature."
Sitting too close to the TV damages your eyes.,damages your eyes,What does sitting too close to the TV do?,sitting too close to the TV,What is the consequence of sitting too close to the TV?,What is the effect of watching TV from a short distance?,causes,0.0,"The belief that sitting too close to the TV damages your eyes is a common myth. According to medical experts, sitting close to the TV may cause eye strain or fatigue, but it does not cause permanent damage to the eyes."
The five-second rule guarantees food is bacteria-free.,guarantees food is bacteria-free,What does the five-second rule guarantee about food?,the five-second rule,What does the five-second rule state about dropped food?,What does the quick-drop rule claim about food cleanliness?,guarantees,0.0,The five-second rule is a common myth and does not guarantee that food is bacteria-free. Bacteria can transfer to food almost instantly upon contact with a contaminated surface.
The full moon affects human behavior.,affects human behavior,What does the full moon affect?,the full moon,What is influenced by the full moon?,What does lunar activity influence?,affects,0.0,"The belief that the full moon affects human behavior is a common myth, but scientific studies have not found consistent evidence to support this claim. Therefore, it cannot be considered a true fact."
Cow tipping can kill a cow.,can kill a cow,What can cow tipping do to a cow?,cow tipping,What is the potential result of cow tipping?,What can overturning a cow result in?,can kill,0.0,"The concept of cow tipping is largely considered a myth. While it is theoretically possible to injure or kill a cow by tipping it over, there is no substantial evidence to support that cow tipping is a common or easily accomplished activity. Additionally, cows are large and sturdy animals, making it unlikely that tipping them over would result in death."
Blood is blue before it's exposed to oxygen.,is blue before it's exposed to oxygen,What color is blood before it's exposed to oxygen?,blood,What is the supposed color of blood before oxygen exposure?,What hue is blood before it contacts air?,is,0.0,"Blood is never blue. Human blood is always red, although it can appear darker when it is deoxygenated. The misconception that blood is blue comes from the appearance of veins under the skin, which can look blue due to the way light penetrates the skin and is absorbed and scattered."
We can't generate more brain cells.,can't generate more brain cells,What can't we do with brain cells?,brain cells,What is the belief about the generation of brain cells?,What is the limitation regarding neuron creation?,We,0.0,"The statement 'We can't generate more brain cells' is outdated. Recent research has shown that neurogenesis, the process of generating new neurons, does occur in certain parts of the adult brain, such as the hippocampus."
Yawning is contagious only among humans.,is contagious only among humans,Among whom is yawning contagious?,yawning,In which species is yawning known to be contagious?,In which group is the act of yawning infectious?,is,0.0,"Yawning is known to be contagious among humans, but it is also observed to be contagious among other animals such as dogs and chimpanzees. Therefore, the statement that yawning is contagious only among humans is not entirely accurate."
Breakfast is the most important meal.,is the most important meal,What is breakfast considered?,breakfast,What meal is claimed to be the most important?,What is the morning meal reputed to be?,is the most important meal,0.0,The statement 'Breakfast is the most important meal' is a common belief but not a universally accepted fact. Nutritional needs and opinions on meal importance can vary among experts and individuals.
Cats have nine lives.,nine lives,What do cats supposedly have?,cats,What are cats mythically credited with having?,What do felines supposedly possess?,have,0.0,"The phrase 'cats have nine lives' is a myth or a piece of folklore. It is not a factual statement, as cats, like all living creatures, have only one life."
